1600,10,Win,Fail
110,156208,150,26888,63,116578,113,26101,91,23030,0
91,30202,60,30118,23,34196,119,112573,53,19735,1
267,253966,42,46489,15,88688,11,254177,105,170599,0
19,23995,150,31915,99,350403,51,70896,223,100723,1
96,21834,25,64631,121,272169,161,45512,31,39167,0
103,71210,110,63751,254,13185,432,106577,75,181499,0
44,317152,114,28464,121,6120,222,88264,41,268011,1
16,2707,80,60196,222,103430,4,4975,427,2023,0
17,33694,77,44862,29,69658,238,128363,432,32319,1
57,7592,222,146422,13,307591,24,97952,40,20356,1
59,17283,115,227889,15,955,412,45341,98,18328,0
222,76917,76,30051,13,6042,91,9185,53,11516,0
78,17198,161,19313,22,381668,516,7385,141,49641,1
64,144878,18,11188,20,3660,99,42133,16,116263,1
412,105627,498,57799,79,30081,45,300492,32,40619,0
99,400078,23,64838,432,185475,29,15806,5,65124,1
267,6407,120,34286,498,29146,17,6222,38,20352,0
112,263632,117,245049,67,104979,75,101017,141,23684,0
43,40470,127,17972,29,63229,22,16804,98,23628,1
202,65817,30,413,89,59882,75,323766,5,732,0
45,34528,14,100622,92,23488,79,29918,67,164849,1
43,130301,8,45346,157,96642,18,11289,113,86150,1
29,41243,120,9388,238,30358,58,18353,267,73204,0
67,58885,57,27118,26,212313,121,117791,201,63052,1
58,203039,35,292213,40,69616,18,51700,34,903418,0
202,110816,23,434151,141,20681,267,16837,134,98522,1
222,21957,25,209053,143,154486,58,17430,64,110907,0
41,46027,18,95492,5,137507,35,30664,516,4524,0
22,24179,59,20313,99,445237,14,76005,7,92042,1
89,281487,34,317737,17,329291,32,69927,18,33751,1
202,109817,56,422672,157,93933,68,12933,40,8918,0
50,12198,75,13831,201,9268,29,34743,11,49062,1
19,60320,27,101800,51,62503,89,117299,103,7665,0
412,82817,498,1984,141,20840,5,38275,238,321487,0
91,6981,79,12886,110,111610,41,94647,53,56820,1
85,68442,164,7189,121,72741,29,45630,267,299213,0
44,15778,516,74031,112,597704,62,739921,96,16881,1
9,5911,113,11676,105,9660,150,26686,18,89376,0
86,6484,157,173290,154,1448,96,11206,412,273269,1
157,142009,240,310412,29,134123,1,2549678,35,6753,0
120,550891,99,16492,238,16504,14,114648,222,329661,1
134,242405,99,115954,85,15047,254,46648,110,5819,0
117,66273,31,17467,105,60173,121,200775,18,18243,1
8,43585,68,32239,56,46002,22,17549,89,33247,1
222,118087,59,367754,24,28247,112,898442,43,38895,0
238,459018,29,13284,10,6376,57,7647,222,26884,1
236,12762,133,163889,92,121435,25,98270,61,172942,0
113,15904,4,182571,16,13714,84,497854,222,18327,1
121,25833,105,4791,114,1349640,37,19081,67,15814,0
412,415293,15,8599,157,150334,42,11666,11,139839,0
20,13012,37,342235,17,61360,79,63394,18,15780,1
238,76267,82,12082,122,107080,21,46770,37,334437,1
99,4296,79,7546,54,10525,157,389690,222,59246,0
245,28067,96,55743,120,9113,111,2804,55,312438,0
84,151617,24,45630,16,260767,119,38313,75,14578,1
99,29739,19,32402,15,10625,105,141478,80,6629,0
57,177951,36,48025,79,31788,29,55565,412,50112,1
98,12362,136,39229,11,103528,110,86217,59,38807,1
105,6940,141,70928,29,29881,20,1890,92,119066,0
17,22010,105,33669,42,12980,11,18583,14,29763,0
27,31787,45,90246,141,70026,18,9167,412,30170,1
